Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
openBrowser(url),Chrome 131.0.0.0,,,23-11-2024 22:10:04,23-11-2024 22:10:37,32.368s,PASSED
"cleanedKeyword = """"",Chrome 131.0.0.0,,,23-11-2024 22:10:37,23-11-2024 22:10:37,0.001s,PASSED
"resultWithKeyword = """"",Chrome 131.0.0.0,,,23-11-2024 22:10:37,23-11-2024 22:10:37,0.001s,PASSED
"resultWithCleanedKeyword = """"",Chrome 131.0.0.0,,,23-11-2024 22:10:37,23-11-2024 22:10:37,0.000s,PASSED
"setText(findTestObject(""Search_Page/input_Keyword""), keyword)",Chrome 131.0.0.0,,,23-11-2024 22:10:37,23-11-2024 22:10:38,1.010s,PASSED
"keyword = getAttribute(findTestObject(""Search_Page/input_Keyword""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 22:10:38,23-11-2024 22:10:38,0.280s,PASSED
"click(findTestObject(""Search_Page/button_Search""))",Chrome 131.0.0.0,,,23-11-2024 22:10:38,23-11-2024 22:10:44,5.618s,PASSED
"if (keyword == null || keyword.trim() == """")",Chrome 131.0.0.0,,,23-11-2024 22:10:44,23-11-2024 22:10:44,0.001s,PASSED
else,Chrome 131.0.0.0,,,23-11-2024 22:10:44,23-11-2024 22:10:53,8.976s,FAILED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,23-11-2024 22:10:53,23-11-2024 22:10:53,0.003s,PASSED
,,,,,,,
Test Cases/SP_Search_Page,Chrome 131.0.0.0,,,23-11-2024 22:10:53,23-11-2024 22:11:43,49.882s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,23-11-2024 22:10:53,23-11-2024 22:11:26,32.762s,PASSED
"cleanedKeyword = """"",Chrome 131.0.0.0,,,23-11-2024 22:11:26,23-11-2024 22:11:26,0.003s,PASSED
"resultWithKeyword = """"",Chrome 131.0.0.0,,,23-11-2024 22:11:26,23-11-2024 22:11:26,0.000s,PASSED
"resultWithCleanedKeyword = """"",Chrome 131.0.0.0,,,23-11-2024 22:11:26,23-11-2024 22:11:26,0.001s,PASSED
"setText(findTestObject(""Search_Page/input_Keyword""), keyword)",Chrome 131.0.0.0,,,23-11-2024 22:11:26,23-11-2024 22:11:26,0.873s,PASSED
"keyword = getAttribute(findTestObject(""Search_Page/input_Keyword""), ""value"")",Chrome 131.0.0.0,,,23-11-2024 22:11:26,23-11-2024 22:11:27,0.250s,PASSED
"click(findTestObject(""Search_Page/button_Search""))",Chrome 131.0.0.0,,,23-11-2024 22:11:27,23-11-2024 22:11:35,7.912s,PASSED
"if (keyword == null || keyword.trim() == """")",Chrome 131.0.0.0,,,23-11-2024 22:11:35,23-11-2024 22:11:35,0.000s,PASSED
else,Chrome 131.0.0.0,,,23-11-2024 22:11:35,23-11-2024 22:11:43,8.045s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,23-11-2024 22:11:43,23-11-2024 22:11:43,0.003s,PASSED
