Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
if (messagePresent),Chrome 131.0.0.0,,,23-11-2024 21:29:46,23-11-2024 21:29:46,0.304s,FAILED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,23-11-2024 21:29:46,23-11-2024 21:29:46,0.001s,PASSED
,,,,,,,
"Test Cases/Customer Login/CL_Incorrect email address, correct password",Chrome 131.0.0.0,,,23-11-2024 21:29:46,23-11-2024 21:30:50,1m - 3.746s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,23-11-2024 21:29:46,23-11-2024 21:30:32,45.344s,PASSED
"click(findTestObject(""Customer_Login/a_Login""))",Chrome 131.0.0.0,,,23-11-2024 21:30:32,23-11-2024 21:30:39,7.648s,PASSED
"setText(findTestObject(""Customer_Login/input_Email Address""), email_address)",Chrome 131.0.0.0,,,23-11-2024 21:30:39,23-11-2024 21:30:40,1.030s,PASSED
"setText(findTestObject(""Customer_Login/input_Password""), password)",Chrome 131.0.0.0,,,23-11-2024 21:30:40,23-11-2024 21:30:41,0.717s,PASSED
"click(findTestObject(""Customer_Login/btn_Login_form1""))",Chrome 131.0.0.0,,,23-11-2024 21:30:41,23-11-2024 21:30:49,7.968s,PASSED
"messagePresent = verifyElementPresent(findTestObject(""Customer_Login/div_Message Present""), 1)",Chrome 131.0.0.0,,,23-11-2024 21:30:49,23-11-2024 21:30:50,0.449s,PASSED
if (messagePresent),Chrome 131.0.0.0,,,23-11-2024 21:30:50,23-11-2024 21:30:50,0.299s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,23-11-2024 21:30:50,23-11-2024 21:30:50,0.189s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,23-11-2024 21:30:50,23-11-2024 21:30:50,0.001s,PASSED
,,,,,,,
"Test Cases/Customer Login/CL_Email address correct, password incorrect",Chrome 131.0.0.0,,,23-11-2024 21:30:50,23-11-2024 21:32:35,1m - 44.686s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,23-11-2024 21:30:50,23-11-2024 21:32:22,1m - 31.443s,PASSED
"click(findTestObject(""Customer_Login/a_Login""))",Chrome 131.0.0.0,,,23-11-2024 21:32:22,23-11-2024 21:32:27,5.403s,PASSED
"setText(findTestObject(""Customer_Login/input_Email Address""), email_address)",Chrome 131.0.0.0,,,23-11-2024 21:32:27,23-11-2024 21:32:28,0.960s,PASSED
"setText(findTestObject(""Customer_Login/input_Password""), password)",Chrome 131.0.0.0,,,23-11-2024 21:32:28,23-11-2024 21:32:29,0.685s,PASSED
"click(findTestObject(""Customer_Login/btn_Login_form1""))",Chrome 131.0.0.0,,,23-11-2024 21:32:29,23-11-2024 21:32:34,5.199s,PASSED
"messagePresent = verifyElementPresent(findTestObject(""Customer_Login/div_Message Present""), 1)",Chrome 131.0.0.0,,,23-11-2024 21:32:34,23-11-2024 21:32:34,0.415s,PASSED
if (messagePresent),Chrome 131.0.0.0,,,23-11-2024 21:32:34,23-11-2024 21:32:35,0.301s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,23-11-2024 21:32:35,23-11-2024 21:32:35,0.184s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,23-11-2024 21:32:35,23-11-2024 21:32:35,0.002s,PASSED
,,,,,,,
Test Cases/Customer Login/CL_Login successful,Chrome 131.0.0.0,,,23-11-2024 21:32:35,23-11-2024 21:34:13,1m - 38.044s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,23-11-2024 21:32:35,23-11-2024 21:33:17,42.095s,PASSED
"click(findTestObject(""Customer_Login/a_Login""))",Chrome 131.0.0.0,,,23-11-2024 21:33:17,23-11-2024 21:33:42,25.335s,PASSED
"setText(findTestObject(""Customer_Login/input_Email Address""), email_address)",Chrome 131.0.0.0,,,23-11-2024 21:33:42,23-11-2024 21:33:43,0.971s,PASSED
"setText(findTestObject(""Customer_Login/input_Password""), password)",Chrome 131.0.0.0,,,23-11-2024 21:33:43,23-11-2024 21:33:44,0.756s,PASSED
"click(findTestObject(""Customer_Login/btn_Login_form1""))",Chrome 131.0.0.0,,,23-11-2024 21:33:44,23-11-2024 21:34:11,26.706s,PASSED
currentUrl = getUrl(),Chrome 131.0.0.0,,,23-11-2024 21:34:11,23-11-2024 21:34:11,0.048s,PASSED
"expectedUrl = ""http://shopbachhoaweb.wuaze.com/index.php""",Chrome 131.0.0.0,,,23-11-2024 21:34:11,23-11-2024 21:34:11,0.003s,PASSED
"verifyMatch(currentUrl, expectedUrl, false)",Chrome 131.0.0.0,,,23-11-2024 21:34:11,23-11-2024 21:34:11,0.007s,PASSED
delay(2),Chrome 131.0.0.0,,,23-11-2024 21:34:11,23-11-2024 21:34:13,2.017s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,23-11-2024 21:34:13,23-11-2024 21:34:13,0.002s,PASSED
